FAC_ELE,victima
472,0
472,0
472,0
236,1
365,0
365,1
729,0
912,1
365,0
1004,1
602,1
401,0
602,0
201,1
226,0
453,0
1358,0
679,0
679,0
729,0
729,1
365,0
729,1
911,0
657,0
328,1
328,1
328,1
169,0
169,1
169,0
844,1
380,0
570,1
949,1
380,1
570,0
144,0
287,0
431,0
287,1
1090,0
817,0
1090,0
272,1
528,0
352,1
176,1
528,1
528,0
375,0
187,1
562,0
749,0
1124,0
442,0
883,1
221,0
662,1
883,0
205,0
821,0
410,0
821,0
369,1
369,0
369,0
554,0
369,0
306,1
153,1
460,1
766,1
894,0
357,1
357,0
179,1
357,0
402,1
603,0
402,0
1005,0
201,0
503,0
335,0
168,0
335,0
503,1
236,0
118,1
118,0
354,0
118,0
428,0
642,0
642,0
428,0
428,0
765,1
382,1
765,0
375,0
563,1
750,0
563,0
211,0
422,1
1267,0
211,0
422,0
259,0
259,0
480,1
720,1
480,1
240,1
633,0
422,0
422,0
422,0
118,0
118,0
354,0
118,1
359,1
718,0
180,0
359,0
539,0
356,0
356,0
356,0
178,1
940,0
752,0
564,0
202,0
202,0
202,0
202,0
202,1
684,0
456,0
456,0
456,0
1152,0
461,0
461,0
461,0
655,0
874,1
655,0
1092,1
397,0
1192,0
397,0
795,1
397,1
1248,1
624,0
208,0
208,0
832,0
199,0
398,0
796,1
597,1
995,1
621,0
414,0
621,1
414,0
829,0
207,0
703,1
351,0
351,0
176,0
746,0
932,0
559,0
186,0
559,0
562,1
187,0
562,1
375,1
811,1
608,1
608,1
1419,1
412,0
412,1
412,0
412,0
609,1
609,0
406,0
812,0
203,0
395,1
395,0
198,1
198,0
198,1
395,0
494,0
740,0
987,0
753,0
753,0
753,0
502,0
403,0
403,0
201,0
604,0
604,0
649,0
649,0
1082,0
433,0
865,1
701,0
467,0
234,0
467,0
467,0
806,0
201,0
403,0
1208,1
783,0
391,0
196,1
391,0
783,1
898,1
1122,0
449,0
673,0
449,0
192,1
577,1
385,0
577,0
385,0
761,0
190,0
381,0
381,0
190,0
759,0
380,1
380,0
570,1
570,1
214,1
643,0
214,1
643,1
643,0
957,1
957,0
479,0
479,1
603,0
1005,1
1005,0
201,0
201,0
427,0
640,0
427,1
427,0
213,0
1349,1
225,0
450,0
450,1
450,0
583,0
583,0
583,0
389,0
583,0
888,1
444,1
444,1
444,0
1111,1
673,1
673,1
449,0
449,0
1045,1
836,1
418,0
418,1
209,1
697,0
697,1
348,1
944,0
472,1
472,0
611,0
611,1
408,1
408,1
204,0
1009,1
504,0
756,1
504,0
185,0
926,0
370,1
555,1
370,0
370,1
216,0
432,0
1081,0
864,0
467,0
233,0
467,1
394,0
394,0
197,0
394,0
636,0
212,1
636,0
212,1
848,1
431,0
861,1
646,0
1077,0
861,0
611,1
204,0
611,0
611,0
204,0
409,0
205,1
205,0
409,0
614,0
806,1
202,0
1411,0
403,0
403,1
361,0
181,1
361,0
542,0
361,0
181,1
762,1
254,1
762,1
508,0
492,1
246,0
738,0
738,0
229,0
916,0
458,1
458,0
458,1
996,1
249,1
249,1
498,1
217,0
433,0
650,0
837,1
837,0
419,1
209,1
419,1
209,0
193,0
387,0
387,1
580,0
580,0
427,0
641,1
427,0
214,0
641,1
383,0
192,0
383,1
383,0
383,0
575,1
383,0
405,1
202,0
607,0
405,0
469,0
937,0
937,0
469,0
399,1
399,0
799,1
998,0
200,0
1110,0
888,0
1110,0
888,0
889,0
445,1
889,1
222,0
545,1
1090,0
545,0
856,0
428,0
1070,0
214,0
428,1
406,1
609,0
406,0
406,0
336,0
168,0
673,0
336,0
504,1
712,0
356,0
534,0
389,0
584,1
389,0
584,1
584,0
395,1
395,0
789,0
592,0
395,0
210,0
421,0
421,0
631,1
631,0
632,1
421,0
421,0
842,0
842,0
203,0
608,1
203,0
811,0
405,0
483,1
965,0
724,0
379,0
189,0
757,1
411,0
616,0
205,1
411,0
411,0
165,0
330,0
165,0
660,0
763,1
382,1
763,0
382,1
573,0
766,1
766,0
766,0
255,1
1383,0
230,0
461,1
922,0
723,0
241,1
241,1
1206,1
216,0
431,1
647,0
216,0
216,1
431,1
863,0
749,0
500,1
749,0
1748,0
223,0
446,0
223,0
668,0
668,1
393,0
196,1
196,0
439,1
659,1
878,1
439,1
439,0
667,0
1111,1
222,0
444,0
380,0
380,1
380,0
380,0
380,0
463,0
694,0
694,0
1157,0
463,0
618,0
412,0
412,1
824,1
633,1
633,0
844,0
633,0
438,1
656,1
438,1
219,0
591,1
788,0
394,0
394,0
591,0
635,0
424,0
635,0
670,0
670,0
446,0
890,0
445,0
668,1
445,0
445,0
233,1
931,0
698,0
931,0
427,0
427,1
854,1
640,0
427,0
415,1
415,1
415,0
829,1
400,0
400,0
600,1
429,0
429,0
644,1
429,1
1502,0
217,1
651,0
434,0
651,0
868,1
364,0
546,0
546,0
728,0
546,0
662,0
442,0
442,0
221,0
442,1
813,1
271,0
542,0
813,0
693,0
462,0
693,0
693,0
693,0
641,1
427,0
427,1
641,1
427,1
380,0
380,1
759,1
759,0
949,1
234,0
468,1
702,0
468,0
612,1
408,0
408,1
408,0
416,0
416,0
208,1
624,0
832,0
786,1
197,1
197,0
197,0
786,0
648,1
432,0
864,1
432,1
216,1
227,0
682,1
910,0
455,1
910,0
431,0
431,0
431,0
647,0
523,1
261,1
1829,1
523,1
826,0
413,0
619,0
413,0
413,1
406,0
609,0
609,1
406,1
389,0
389,0
389,0
584,1
973,1
777,0
794,0
993,0
397,0
794,0
477,1
1193,0
477,0
477,0
239,0
635,0
635,0
423,0
635,1
423,0
412,1
412,0
412,0
1029,0
617,0
617,1
462,0
923,1
231,1
462,0
462,0
894,0
223,0
1117,0
447,0
447,0
758,1
758,0
379,0
437,1
218,1
437,0
655,1
437,0
386,1
386,0
579,0
1158,0
193,0
403,0
807,0
403,0
403,0
202,1
605,1
1298,0
519,1
1038,0
779,0
1038,0
282,0
564,0
846,1
564,0
564,1
928,0
696,1
696,0
232,0
422,0
632,0
632,1
211,0
384,0
960,0
192,0
384,0
279,0
557,0
557,0
279,1
1114,0
667,1
889,0
222,0
445,0
445,0
557,0
557,0
371,0
186,0
186,1
604,0
403,0
604,0
604,1
611,1
407,0
611,0
611,0
407,0
689,0
459,1
230,0
459,0
230,0
524,1
262,1
262,0
524,1
524,1
393,0
590,0
393,0
393,0
590,0
433,1
433,0
433,1
433,0
217,1
398,0
596,0
398,1
398,1
398,1
1268,0
507,0
236,0
471,0
707,0
236,1
707,0
670,1
447,0
447,1
223,0
447,0
255,0
255,1
510,1
510,1
545,1
1362,1
545,1
545,0
545,1
394,0
197,0
197,1
789,1
394,0
1267,0
760,0
1013,0
760,0
471,0
471,0
235,0
706,1
235,0
535,1
802,0
1337,0
535,1
403,0
403,0
604,0
403,0
201,1
489,1
244,0
489,0
244,1
733,0
562,1
375,0
375,1
562,0
1193,0
597,0
895,1
895,1
502,1
502,1
502,1
251,0
506,0
506,1
1012,0
506,0
253,1
233,0
934,0
467,0
467,0
467,1
629,0
944,0
629,1
485,1
485,0
971,0
530,0
1325,1
530,0
795,0
1192,1
199,0
795,0
189,1
377,1
189,0
377,1
566,1
754,1
225,1
676,0
225,0
676,0
676,1
732,0
488,0
488,0
244,0
488,0
843,1
422,1
422,0
632,0
632,0
455,1
455,1
228,1
455,1
455,0
455,1
227,0
487,0
731,0
731,1
731,0
974,0
414,1
207,0
414,1
414,1
434,0
1084,0
434,0
434,0
217,0
434,0
527,0
527,0
351,0
351,1
176,1
475,0
475,0
475,0
475,0
209,0
628,0
419,0
419,0
419,1
403,0
403,1
202,0
1009,0
403,0
473,0
709,0
236,0
468,0
234,0
468,0
468,1
468,1
481,0
481,0
721,0
481,0
481,0
875,1
437,0
656,0
656,0
437,0
641,1
427,0
427,0
641,0
214,1
767,0
1150,0
767,1
767,1
214,1
214,0
429,1
357,1
357,1
357,1
357,1
413,1
207,0
207,0
207,0
413,1
219,1
438,1
438,1
658,0
391,0
195,1
391,0
195,0
809,0
539,0
539,0
539,1
270,0
197,1
591,0
394,0
394,0
750,1
500,0
500,0
999,0
650,1
433,0
650,0
433,0
650,1
393,1
393,0
393,0
197,0
393,0
633,1
633,0
633,1
633,1
443,1
443,0
443,0
443,0
653,0
218,0
435,0
870,0
653,0
222,0
666,1
444,1
444,1
666,0
222,0
423,0
212,0
423,0
423,1
846,0
581,0
581,1
291,0
581,0
581,0
917,0
459,0
688,0
459,1
229,1
772,0
514,1
514,0
257,0
513,1
513,0
769,0
769,0
448,1
448,1
897,0
448,1
672,0
591,0
394,1
394,1
591,0
197,0
449,1
449,0
673,1
673,1
449,0
904,0
904,0
452,1
678,0
452,0
200,0
401,1
401,0
801,0
401,1
422,0
1686,0
422,1
211,0
422,0
684,0
456,0
684,0
615,0
205,0
205,0
410,1
410,0
429,1
643,0
429,0
214,1
429,0
225,1
225,0
451,0
451,0
454,0
454,0
682,0
454,0
2244,0
748,0
374,0
374,1
1172,0
1563,1
391,1
781,0
1207,0
402,1
805,1
805,0
425,0
212,1
637,0
212,0
494,0
247,0
247,1
247,1
392,0
196,0
392,0
784,0
392,0
794,0
1191,0
794,0
1191,0
1588,0
794,0
794,1
397,0
794,0
1191,0
794,0
1191,0
794,0
397,0
676,0
1014,0
1014,1
1014,1
338,0
676,1
676,0
676,0
676,0
676,0
1352,1
676,0
1014,0
676,0
676,0
676,1
676,1
1014,1
338,0
676,1
1310,0
1310,1
873,1
873,1
437,0
437,0
437,0
873,0
873,1
666,0
222,1
888,0
222,0
888,0
666,0
444,1
444,0
222,1
222,0
444,0
222,1
444,0
444,0
444,0
222,1
222,0
444,1
666,0
726,0
726,1
1452,0
829,0
829,1
553,1
553,0
553,0
553,0
553,0
553,0
553,0
553,0
553,0
829,0
553,0
553,0
829,0
1106,1
553,1
829,0
829,0
611,0
611,0
306,0
1089,0
1815,0
1089,0
726,0
726,1
726,0
726,1
726,0
363,0
726,0
726,1
726,1
726,1
726,0
726,0
873,0
1310,0
437,0
437,0
873,0
437,0
873,0
873,0
437,1
873,0
873,0
437,1
1310,0
591,0
394,1
1588,0
397,0
794,0
794,0
794,0
1191,0
611,0
611,0
306,1
2750,1
611,0
611,1
1222,0
611,0
917,1
1222,0
611,0
306,0
611,0
1583,0
396,0
1583,0
792,1
611,1
306,0
488,1
244,0
731,0
975,0
488,0
488,0
488,1
488,0
731,0
975,0
731,0
1583,0
792,0
394,1
488,0
488,0
244,0
731,1
488,0
197,1
488,0
488,0
766,0
511,0
1048,0
524,0
262,0
524,0
511,1
511,0
1277,0
511,0
262,0
524,0
1022,0
1310,0
766,0
766,0
511,0
1277,0
1054,0
791,0
527,0
264,0
527,0
527,1
373,0
746,0
373,0
1492,0
746,0
1119,0
255,0
766,1
387,0
774,1
387,1
387,0
1022,0
511,0
511,0
387,0
581,0
774,0
387,0
774,0
524,0
262,0
524,0
1054,0
791,1
264,0
264,0
1054,0
264,1
527,0
1581,1
527,0
527,0
1581,0
264,0
373,0
746,1
2239,0
373,0
746,1
581,0
194,0
581,0
360,0
180,1
540,0
180,0
746,0
746,0
1866,0
1119,0
1119,0
581,0
360,0
540,0
360,0
540,1
180,1
540,0
360,0
774,0
387,0
387,0
387,0
774,0
387,1
524,1
524,0
262,0
1310,0
1048,0
524,0
524,0
1048,0
373,0
360,1
360,0
360,0
360,1
360,0
360,0
540,1
524,0
333,0
674,0
449,1
674,1
674,0
1143,1
457,0
457,0
457,0
457,0
333,0
167,0
184,1
368,0
920,0
368,0
368,1
674,0
387,0
387,0
581,1
387,0
536,1
500,0
333,0
536,0
536,0
804,1
536,1
536,1
552,0
368,0
368,0
552,0
368,0
736,0
536,0
536,1
184,0
574,0
493,1
493,0
493,0
493,0
368,1
368,0
184,0
554,0
831,1
1104,0
736,0
1001,1
751,0
501,1
371,1
186,1
186,0
536,0
268,0
1340,0
536,0
536,0
501,0
501,0
536,0
536,1
804,0
167,0
1336,0
534,0
267,0
802,1
534,0
227,1
454,0
957,0
765,1
383,0
383,1
429,1
215,0
215,0
429,0
644,1
493,1
368,0
368,0
552,1
368,0
630,0
630,0
315,0
630,0
945,0
315,0
630,0
945,1
371,1
371,0
907,1
363,0
181,0
536,1
536,0
715,0
357,0
1072,1
357,0
357,1
552,0
368,0
227,1
454,0
429,0
859,0
215,1
429,1
429,0
429,0
502,1
335,0
335,1
215,1
429,1
630,0
630,0
315,0
1261,0
630,0
181,0
363,1
836,0
315,0
630,0
429,1
644,0
1261,0
215,0
429,0
429,1
315,0
450,1
1349,1
337,0
400,0
750,0
150,1
450,0
150,0
427,1
1000,0
400,1
800,1
300,0
450,1
300,0
641,1
427,0
427,0
641,0
427,0
641,0
400,1
400,0
1199,0
600,1
300,0
450,0
750,0
600,0
600,0
300,1
200,1
600,0
800,0
675,1
1012,1
1686,1
675,0
427,0
427,1
214,0
450,0
675,0
337,0
675,0
675,1
675,0
1068,0
427,0
427,0
214,0
300,0
400,1
400,1
600,0
800,0
200,0
600,0
338,0
338,0
507,0
169,0
338,0
338,1
675,0
675,0
675,0
1686,0
675,0
300,1
507,0
1068,0
427,1
641,0
169,0
507,0
400,0
507,0
1349,1
1349,0
337,0
507,0
855,1
427,0
338,0
507,0
507,0
844,0
507,0
338,0
400,0
400,0
338,0
507,1
276,0
552,1
197,0
866,0
217,0
985,0
394,0
552,1
276,1
552,0
552,0
1083,0
433,0
433,0
433,0
433,0
650,0
650,0
788,0
591,0
197,0
394,0
591,0
828,0
552,1
552,1
276,0
295,0
442,1
552,0
552,1
1104,0
552,0
1137,0
147,0
442,0
591,0
394,0
394,1
788,0
197,0
394,0
394,0
591,0
591,0
394,0
147,1
866,0
217,0
442,1
737,0
295,0
828,1
552,0
1104,0
147,0
590,0
442,0
590,0
1083,1
569,0
569,0
650,1
433,0
1083,0
650,1
433,0
650,1
569,0
442,0
295,0
442,0
1421,0
569,0
569,0
853,1
569,0
295,0
853,1
147,0
442,0
853,1
569,0
569,1
284,0
569,0
569,0
442,0
284,0
276,0
569,0
276,0
569,1
1111,0
628,1
628,0
628,0
314,0
222,0
667,1
444,0
1587,0
314,0
444,1
793,0
157,0
1190,0
471,0
444,0
222,0
314,0
628,0
667,1
667,1
222,0
444,0
444,1
444,0
444,1
889,0
444,1
222,0
793,0
222,1
444,0
793,0
785,0
471,0
314,0
471,0
793,1
1190,1
793,0
793,0
1587,0
314,0
397,0
793,1
793,1
628,0
157,0
793,0
314,0
471,0
793,0
157,1
397,1
793,1
281,0
562,1
281,1
1686,0
281,0
562,0
562,0
562,0
281,0
281,0
281,0
562,1
562,0
843,1
1405,0
562,0
562,0
562,0
562,0
600,0
600,0
1201,1
901,0
901,0
901,1
300,0
300,0
600,0
1201,0
600,0
600,0
600,1
300,0
300,0
901,1
901,0
901,0
1335,0
890,0
1335,0
445,0
2224,0
1310,0
873,0
437,0
363,0
1088,0
725,0
725,0
898,0
599,0
898,0
1896,1
379,0
1137,0
379,0
758,0
411,0
822,0
1233,0
822,0
1233,1
1111,0
741,0
1481,0
702,1
702,1
702,0
205,0
1023,0
205,0
409,1
936,0
312,1
1248,0
312,1
312,0
1883,0
942,0
942,0
471,0
2189,0
438,0
876,0
438,1
1314,1
431,0
1213,0
809,0
404,1
809,1
578,0
867,0
578,0
1181,0
787,1
394,0
394,0
787,0
378,1
378,1
756,0
378,0
1276,0
851,0
425,0
851,0
802,0
802,0
802,0
401,1
802,1
364,0
364,0
727,1
1454,0
727,0
743,0
371,0
743,1
371,0
1114,1
892,1
446,0
892,1
892,0
446,0
837,1
837,0
837,0
837,0
837,1
803,0
803,0
401,0
401,0
2408,0
1026,0
1026,0
1026,1
1026,0
1026,1
1131,0
754,0
754,1
1131,0
377,0
312,1
624,1
936,0
312,1
808,1
808,1
808,0
808,0
1213,1
1009,1
673,0
1345,0
673,0
835,0
835,0
1670,1
1670,0
835,0
698,0
698,1
1047,1
1104,0
736,0
1104,0
736,0
736,0
1978,0
1187,1
791,1
1187,0
1174,0
783,0
783,1
391,0
783,0
1237,0
825,0
825,1
1237,0
667,0
333,0
729,0
1094,1
729,1
365,0
729,0
886,0
443,0
886,1
2214,0
443,1
1058,0
1587,1
1058,1
1058,1
837,0
1255,1
837,1
2091,1
837,1
824,1
824,1
412,1
1648,1
1236,0
1764,1
1764,0
882,1
882,0
882,0
1392,0
464,1
464,1
928,0
1856,0
844,0
1265,1
844,1
422,1
422,1
1138,1
759,0
759,0
1518,0
379,1
500,0
1000,0
1000,0
1000,0
749,0
749,0
1123,0
749,0
749,0
1243,0
829,0
829,0
1243,0
829,0
1683,0
841,0
841,1
421,1
776,0
1165,0
388,0
776,0
617,0
617,1
309,0
617,1
309,1
657,0
657,1
657,1
329,1
1404,0
351,0
351,0
702,0
702,0
837,0
837,0
837,0
837,0
1256,0
489,0
1468,0
979,0
979,0
979,0
392,0
1177,0
785,0
972,1
972,0
972,0
972,1
2430,1
972,1
972,0
430,1
2152,0
1721,1
861,1
430,0
1721,0
861,0
1458,0
430,0
972,1
972,0
486,1
972,1
972,0
2430,1
486,0
1458,0
972,0
972,0
972,0
861,0
861,0
1721,1
2152,0
1291,0
1291,1
1721,1
861,0
867,1
433,0
433,0
1300,0
1291,1
654,0
982,0
430,1
867,0
982,0
472,0
1415,0
944,0
462,0
925,1
1042,0
1042,0
1563,1
1042,0
1042,1
944,0
351,0
944,1
462,1
462,0
925,0
462,0
923,0
923,0
462,0
1385,0
462,0
351,0
351,1
939,1
351,0
351,0
480,0
1441,0
1921,0
1441,0
2402,0
756,1
1512,0
756,1
1134,0
1361,0
835,1
488,0
976,0
976,1
976,0
488,0
1141,1
458,0
458,0
458,0
1374,0
955,0
477,1
1432,1
1413,1
942,1
471,0
942,0
1486,0
991,1
991,1
495,0
1486,0
903,0
903,1
903,0
903,1
454,0
939,0
470,1
1878,0
939,0
443,1
443,1
1770,0
443,0
443,0
835,1
417,0
835,0
412,0
823,0
1141,0
1141,0
570,0
570,0
829,0
415,0
829,1
458,0
458,1
458,1
458,0
839,0
1259,0
420,0
1307,1
1743,0
1743,0
436,1
436,0
829,0
1243,0
829,0
829,0
829,1
414,0
1357,0
1361,1
454,0
454,0
916,0
916,1
2289,1
910,0
910,1
910,1
2275,1
1365,1
823,0
596,1
440,1
879,0
440,0
879,0
440,1
1505,1
1004,0
1004,0
1004,0
1963,1
982,0
491,1
982,1
1963,0
855,0
855,1
855,0
855,0
855,0
1265,1
844,0
844,1
844,0
324,0
324,0
324,0
324,0
1357,1
1810,0
905,0
2262,0
1009,0
1514,0
505,1
1009,0
2018,0
1192,0
1192,0
596,0
1633,0
544,0
2721,0
838,1
2513,1
838,0
1993,0
996,1
996,0
1993,0
2097,0
2097,0
2097,1
1573,0
1573,0
417,0
834,1
417,0
417,0
779,1
389,0
779,0
779,0
779,0
475,0
475,0
950,0
475,0
288,1
864,0
288,1
288,0
288,1
462,1
1385,0
462,0
923,0
923,1
1633,0
1089,0
753,1
753,0
376,0
753,1
376,1
829,1
1244,0
971,0
1459,0
973,1
1459,1
486,1
839,0
1679,1
867,0
867,1
982,0
491,0
491,1
2190,1
1095,1
1095,0
548,0
1095,0
1213,1
607,1
607,1
1820,0
607,1
458,0
1374,0
916,0
916,0
1244,0
829,0
415,0
1244,0
829,0
465,1
465,0
930,1
465,1
465,0
392,0
784,1
392,1
1568,1
1122,0
374,0
748,0
1122,1
1122,1
467,0
935,1
935,0
935,0
467,0
904,0
904,1
904,0
904,1
452,1
1401,0
934,0
934,1
1401,0
1374,1
1832,0
3663,0
458,0
1374,0
476,0
952,0
952,0
952,0
476,0
867,0
867,1
867,0
1734,0
1780,1
890,0
1335,0
1442,0
2404,1
1442,0
961,0
1340,0
447,0
893,1
447,0
1340,0
431,0
431,1
1293,0
1724,0
833,0
833,0
833,0
1666,0
997,1
997,0
498,1
1495,0
1358,0
1810,0
453,0
2263,1
1358,1
961,1
961,0
481,0
961,0
1442,0
1442,1
1265,0
1265,0
844,0
685,0
1028,0
685,0
1028,1
1028,0
863,1
863,1
863,0
431,0
908,0
454,0
908,0
1817,0
908,1
437,1
2183,0
873,1
980,0
1961,0
980,0
980,0
2451,0
943,1
943,1
943,0
943,1
943,0
854,1
427,1
854,0
1708,0
1001,0
1001,0
1001,0
1501,1
1001,0
456,1
912,1
912,0
1825,0
456,0
2134,0
533,0
1383,0
922,0
922,1
922,1
922,1
468,1
468,0
936,1
468,0
1404,0
936,1
970,0
970,0
485,1
970,0
485,1
1557,0
1038,0
1038,0
2594,0
2076,1
1774,0
887,0
444,0
1331,0
901,1
1352,0
1352,0
901,1
494,1
988,0
988,1
988,1
1482,1
1366,1
911,0
455,1
1366,1
1864,1
1864,0
982,1
982,0
1963,1
982,1
1984,0
1488,1
992,1
1488,0
992,1
1461,1
1461,0
1461,0
910,1
910,0
455,1
455,0
1820,1
973,1
1459,0
1459,0
1459,1
486,1
1936,0
484,1
484,1
1936,0
491,0
982,0
1472,1
1472,0
1047,0
1047,0
523,1
523,0
466,1
931,1
931,0
931,1
1397,1
1011,0
1011,1
505,1
1011,0
1011,0
1030,1
2059,0
1030,1
1030,1
515,0
1348,0
449,0
898,0
898,0
966,0
966,1
966,1
966,0
1932,0
546,1
1093,0
1093,0
546,1
1093,0
1639,0
2198,0
1648,1
1648,0
1648,1
1099,0
765,1
765,0
765,0
765,1
765,1
1379,1
919,0
1379,0
460,1
464,0
1854,1
1391,0
927,1
1391,0
1750,0
875,0
875,0
875,1
875,0
2147,0
859,1
859,0
458,1
458,1
916,0
1832,0
916,0
1374,0
2111,0
1056,1
1056,0
528,0
1056,1
444,0
1776,0
444,0
2221,0
444,0
2201,0
550,0
2201,0
2798,1
933,1
466,0
1399,0
466,0
465,1
1395,0
1395,0
930,1
1395,1
1395,0
997,1
997,0
1995,1
997,1
1764,1
882,1
882,0
441,1
882,1
1418,1
1418,0
473,0
945,0
945,1
513,1
1027,0
513,0
1027,0
1027,0
952,0
952,1
952,0
476,0
471,0
942,1
1884,0
471,0
942,0
1072,1
1072,0
1900,0
454,0
2269,0
454,0
454,0
907,0
985,0
985,0
493,0
985,0
1525,0
1017,0
508,0
2542,1
1017,0
434,0
868,0
434,0
1930,0
483,0
483,0
483,0
1448,1
434,0
434,0
434,1
849,0
849,1
1273,1
849,0
1273,0
2122,1
849,1
1273,1
424,0
1698,0
849,1
849,1
2122,0
849,1
849,0
794,0
397,0
1191,0
794,0
452,1
452,1
904,1
904,0
904,1
914,0
2285,0
914,1
914,1
819,0
819,0
819,1
819,0
410,1
448,0
896,0
896,0
896,0
448,0
896,1
448,0
1792,1
1344,0
896,0
1344,0
1344,0
896,0
896,1
896,0
1780,0
890,1
890,1
445,1
445,1
890,0
890,0
890,0
890,1
890,0
1335,0
1335,0
890,0
890,1
2226,1
1335,0
890,1
1780,0
890,0
823,0
412,1
1646,1
2469,0
823,0
412,0
412,0
823,0
823,0
412,0
823,0
412,0
823,0
1235,1
823,0
412,1
1235,1
823,1
823,1
1967,0
492,0
983,0
1475,0
983,1
643,0
1285,0
2571,0
643,0
643,0
1928,0
451,0
1332,1
1776,0
888,0
1332,1
444,0
1925,1
481,0
1444,0
963,1
963,0
1345,0
896,0
448,0
896,1
448,1
1456,0
971,0
1456,1
603,0
2411,0
603,1
603,0
1808,1
1205,0
1808,0
2411,0
1205,0
1205,0
3616,0
1205,0
1205,0
1808,0
1808,0
1205,0
2411,0
745,1
745,0
745,0
745,0
2978,0
745,0
2234,0
2978,0
745,0
1489,0
745,0
2234,1
2978,0
1489,0
1489,0
745,0
2234,0
2234,0
1515,0
1010,0
1515,0
1010,1
505,1
505,0
505,0
505,0
505,1
1010,0
505,0
505,1
505,0
1010,1
505,0
1515,1
1010,0
1010,0
1010,0
718,1
1436,0
718,0
1436,0
1436,0
718,0
1436,0
1436,0
1436,1
1436,0
2154,0
1436,0
1436,0
1436,0
2154,0
1436,0
2154,0
2154,1
1436,1
1436,0
1616,0
3233,0
1616,0
1616,1
1616,0
1616,0
1616,0
1616,0
2425,0
1616,0
1616,0
1285,0
643,1
2571,0
1285,1
1285,0
643,0
643,0
2571,1
1285,0
1285,0
1928,0
1283,0
2565,1
1924,0
1283,1
1283,0
1608,0
1072,0
1072,0
434,0
434,1
1303,1
1303,0
434,1
942,0
1413,0
942,0
942,0
471,0
469,1
938,1
938,0
938,0
1190,0
1587,1
793,0
397,0
424,0
849,0
1698,1
424,1
849,0
999,0
999,0
1498,0
999,0
499,0
499,1
999,0
499,0
999,0
999,1
999,0
999,0
999,0
499,0
499,0
1498,0
999,0
1998,1
499,1
1498,0
793,0
397,1
1587,0
1190,0
1190,1
1587,1
1190,1
793,0
1190,1
793,1
1190,0
1286,0
429,1
1286,1
492,0
793,1
793,0
397,0
432,0
865,0
865,1
865,1
1297,1
865,0
865,1
1297,0
865,1
1297,0
865,0
865,0
432,0
865,0
865,0
865,1
865,1
858,0
2573,1
858,0
1286,1
429,1
858,1
1286,0
858,0
1286,0
1286,1
858,0
858,0
858,0
858,1
858,0
2144,0
1616,0
1616,0
808,0
1283,0
983,0
492,0
983,1
983,1
2425,0
3233,0
2425,0
1616,1
808,1
1283,0
1283,0
1283,0
1924,0
641,1
1924,0
641,0
641,0
641,0
641,0
492,0
492,1
1924,0
983,0
492,0
492,1
1475,0
1283,0
2565,0
983,1
685,0
343,0
791,0
791,0
1978,0
1187,0
868,0
289,0
445,0
889,0
766,0
263,0
889,0
889,0
361,0
361,0
1258,1
838,0
838,0
1157,0
578,0
255,1
255,1
1431,0
716,0
358,0
716,0
716,0
396,0
791,1
791,1
1582,1
2402,0
961,1
1921,1
480,0
1441,0
1194,1
398,0
796,0
398,0
796,0
834,0
1668,1
1668,1
834,1
834,0
907,0
907,1
1075,0
1075,0
717,1
2150,0
1433,0
1774,0
444,0
180,0
722,0
487,0
1462,0
975,0
1462,0
1462,0
904,0
298,1
1490,0
298,0
298,0
596,0
1404,0
1872,0
468,0
2087,0
1252,0
2087,1
1252,1
896,0
896,0
896,0
2240,0
1661,0
831,0
831,1
1246,0
831,0
1453,1
1453,0
3391,0
969,0
1276,0
425,0
425,1
1276,1
425,0
446,0
446,0
887,0
444,0
887,1
1205,0
1506,0
602,1
301,0
1158,0
1158,0
1028,0
685,0
343,0
1177,0
1177,1
392,0
784,0
829,1
1022,1
1022,0
511,0
1022,0
775,0
388,0
388,0
1938,1
1938,0
1258,1
419,1
1523,0
1219,1
305,0
856,0
428,0
428,0
856,1
874,0
1749,0
1312,1
437,0
874,0
782,0
391,0
782,0
391,0
782,0
425,0
850,1
425,0
1699,0
425,0
1567,0
784,1
1176,0
1176,1
1176,0
404,1
807,1
807,0
1211,1
1211,0
1210,0
807,1
403,1
403,0
904,1
603,0
603,0
603,0
661,0
661,0
1322,0
661,0
661,0
809,0
809,0
809,0
809,0
489,0
1467,0
1467,0
978,1
978,0
1017,0
339,0
678,0
339,0
1356,0
1465,0
1099,0
366,1
733,0
366,0
634,0
634,0
634,0
634,0
317,0
1058,1
264,0
1058,0
793,1
1265,1
1687,0
843,1
1667,0
834,0
1667,0
1250,0
834,0
370,1
739,1
739,0
739,0
1849,1
1218,1
812,0
406,1
816,0
408,0
