Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus,Mes,Mes_nombre
17/03/2021,08:54:31,3,17.8555,-98.7023,46.3,"37 km al NOROESTE de TLAPA, GRO",17/03/2021,14:54:31,revisado,3,marzo
01/05/2017,00:46:29,3.5,15.0717,-93.576,20,"79 km al SUROESTE de PIJIJIAPAN, CHIS",01/05/2017,05:46:29,revisado,5,mayo
21/06/1999,03:48:16,3.8,16.31,-98.38,36,"35 km al OESTE de PINOTEPA NACIONAL, OAX",21/06/1999,08:48:16,revisado,6,junio
09/09/2023,04:16:04,3.4,16.8195,-99.3495,8.5,"5 km al NORESTE de SAN MARCOS, GRO",09/09/2023,10:16:04,revisado,9,septiembre
01/02/2018,18:38:52,3.6,16.5247,-94.921,57.4,"11 km al NOROESTE de UNION HIDALGO, OAX",02/02/2018,00:38:52,revisado,2,febrero
10/02/2020,03:25:32,3.8,16.768,-94.027,140.2,"34 km al OESTE de CINTALAPA, CHIS",10/02/2020,09:25:32,revisado,2,febrero
21/05/2018,12:26:36,3.9,14.885,-93.7967,27.2,"109 km al SUROESTE de PIJIJIAPAN, CHIS",21/05/2018,17:26:36,revisado,5,mayo
06/01/2024,02:38:54,3.7,16.545,-99.632,14.2,"38 km al SUROESTE de SAN MARCOS, GRO",06/01/2024,08:38:54,revisado,1,enero
26/11/2021,20:16:07,3.6,16.4972,-100.183,5,"51 km al SUROESTE de ACAPULCO, GRO",27/11/2021,02:16:07,revisado,11,noviembre
08/08/2021,21:48:03,3.5,18.789,-102.666,42.6,"47 km al SUROESTE de APATZINGAN, MICH",09/08/2021,02:48:03,revisado,8,agosto
13/04/2022,13:33:15,3.5,17.4807,-93.9822,165.7,"49 km al SUR de LAS CHOAPAS, VER",13/04/2022,18:33:15,revisado,4,abril
13/05/2024,13:57:05,3.6,32.52,-115.16,7.2,"26 km al NORTE de GPE VICTORIA(KM.43), BC ",13/05/2024,19:57:05,verificado,5,mayo
11/05/2020,22:11:26,3.7,19.6412,-104.622,47.8,"20 km al OESTE de CASIMIRO CASTILLO, JAL",12/05/2020,03:11:26,revisado,5,mayo
18/05/2017,01:52:34,3.3,16.25,-97.877,18.8,"21 km al SURESTE de PINOTEPA NACIONAL, OAX",18/05/2017,06:52:34,revisado,5,mayo
06/08/2023,16:22:37,4.1,13.763,-92.9735,17.2,"135 km al SUROESTE de CD HIDALGO, CHIS",06/08/2023,22:22:37,revisado,8,agosto
25/04/2021,20:17:13,3.9,14.9862,-93.5618,32,"86 km al SUROESTE de PIJIJIAPAN, CHIS",26/04/2021,01:17:13,revisado,4,abril
26/05/2017,10:08:54,4.2,17.2998,-94.8657,127.3,"51 km al NORESTE de MATIAS ROMERO, OAX",26/05/2017,15:08:54,revisado,5,mayo
04/06/2023,05:28:52,3.4,31.5783,-115.989,20.4,"58 km al SURESTE de RODOLFO SANCHEZ T(MRO), BC",04/06/2023,11:28:52,revisado,6,junio
24/07/2019,19:20:10,3.6,15.6398,-98.5363,16.3,"93 km al SUROESTE de PINOTEPA NACIONAL, OAX",25/07/2019,00:20:10,revisado,7,julio
19/02/2018,16:30:24,2.5,16.2313,-98.167,20,"17 km al SUROESTE de PINOTEPA NACIONAL, OAX",19/02/2018,22:30:24,revisado,2,febrero
12/06/2023,23:15:44,3.7,28.3743,-108.224,5,"91 km al SUR de MADERA, CHIH",13/06/2023,05:15:44,revisado,6,junio
12/08/2021,06:42:21,3.8,27.615,-111.647,14.5,"68 km al NORESTE de SANTA ROSALIA, BCS",12/08/2021,11:42:21,revisado,8,agosto
24/05/2018,07:05:23,3.3,16.081,-95.31,58.7,"17 km al SUROESTE de SALINA CRUZ, OAX",24/05/2018,12:05:23,revisado,5,mayo
18/05/2018,20:49:17,3.9,17.623,-101.763,10,"23 km al OESTE de ZIHUATANEJO, GRO",19/05/2018,01:49:17,revisado,5,mayo
02/10/2016,21:54:14,3.9,15.964,-98.8968,17.4,"95 km al SUROESTE de OMETEPEC, GRO",03/10/2016,02:54:14,revisado,10,octubre
03/08/2017,22:09:43,3.3,19.4035,-105.184,6.5,"68 km al NOROESTE de CIHUATLAN, JAL",04/08/2017,03:09:43,revisado,8,agosto
12/09/2018,12:57:05,3.6,16.6552,-99.7695,11.9,"28 km al SURESTE de ACAPULCO, GRO",12/09/2018,17:57:05,revisado,9,septiembre
15/09/2019,12:31:07,3.5,16.8688,-98.415,55.3,"21 km al NORTE de OMETEPEC, GRO",15/09/2019,17:31:07,revisado,9,septiembre
